iShares S&P 100 ETF,,,,,,,,,,,
Inception Date,"Oct 23, 2000",,,,,,,,,,
Fund Holdings as of,"Sep 29, 2017",,,,,,,,,,
Total Net Assets,"4,888,447,512.89",,,,,,,,,,
Shares Outstanding,"43,900,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
SBUX,STARBUCKS CORP,Equity,0.57,53.71,"514,656.00","27,642,173.76","27,642,173.76",Consumer Discretionary,2842255,US8552441094,NASDAQ
QCOM,QUALCOMM INC,Equity,0.56,51.84,"526,615.00","27,299,721.60","27,299,721.60",Information Technology,2714923,US7475251036,NASDAQ
CAT,CATERPILLAR INC,Equity,0.54,124.71,"210,647.00","26,269,787.37","26,269,787.37",Industrials,2180201,US1491231015,New York Stock Exchange Inc.
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Equity,0.54,363.42,"71,698.00","26,056,487.16","26,056,487.16",Consumer Discretionary,BZ6VT82,US16119P1084,NASDAQ
PYPL,PAYPAL HOLDINGS INC,Equity,0.53,64.03,"402,868.00","25,795,638.04","25,795,638.04",Information Technology,BYW36M8,US70450Y1038,NASDAQ
COST,COSTCO WHOLESALE CORP,Equity,0.53,164.29,"156,331.00","25,683,619.99","25,683,619.99",Consumer Staples,2701271,US22160K1051,NASDAQ
WBA,WALGREEN BOOTS ALLIANCE INC,Equity,0.52,77.22,"328,021.00","25,329,781.62","25,329,781.62",Consumer Staples,BTN1Y44,US9314271084,NASDAQ
NEE,NEXTERA ENERGY INC,Equity,0.5,146.55,"166,872.00","24,455,091.60","24,455,091.60",Utilities,2328915,US65339F1012,New York Stock Exchange Inc.
AGN,ALLERGAN,Equity,0.5,204.95,"119,163.00","24,422,456.85","24,422,456.85",Health Care,BY9D546,IE00BY9D5467,New York Stock Exchange Inc.
NKE,NIKE INC CLASS B,Equity,0.5,51.85,"468,344.00","24,283,636.40","24,283,636.40",Consumer Discretionary,2640147,US6541061031,New York Stock Exchange Inc.
MS,MORGAN STANLEY,Equity,0.5,48.17,"504,065.00","24,280,811.05","24,280,811.05",Financials,2262314,US6174464486,New York Stock Exchange Inc.
LOW,LOWES COMPANIES INC,Equity,0.49,79.94,"300,911.00","24,054,825.34","24,054,825.34",Consumer Discretionary,2536763,US5486611073,New York Stock Exchange Inc.
AXP,AMERICAN EXPRESS,Equity,0.49,90.46,"261,516.00","23,656,737.36","23,656,737.36",Financials,2026082,US0258161092,New York Stock Exchange Inc.
BIIB,BIOGEN INC INC,Equity,0.49,313.12,"75,365.00","23,598,288.80","23,598,288.80",Health Care,2455965,US09062X1037,NASDAQ
CL,COLGATE-PALMOLIVE,Equity,0.47,72.85,"313,962.00","22,872,131.70","22,872,131.70",Consumer Staples,2209106,US1941621039,New York Stock Exchange Inc.
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Equity,0.45,40.66,"537,376.00","21,849,708.16","21,849,708.16",Consumer Staples,B8CKK03,US6092071058,NASDAQ
