As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Sep 01, 2017","2,167.50",110.11,--,"43,700,000.00"
"Aug 31, 2017","2,164.44",109.94,--,"43,850,000.00"
"Aug 30, 2017","2,152.79",109.35,--,"43,850,000.00"
"Aug 29, 2017","2,143.26",108.87,--,"43,800,000.00"
"Aug 28, 2017","2,138.51",108.62,--,"43,800,000.00"
"Aug 25, 2017","2,136.10",108.50,--,"43,850,000.00"
"Aug 24, 2017","2,133.09",108.35,--,"43,850,000.00"
"Aug 23, 2017","2,138.20",108.61,--,"43,800,000.00"
"Aug 22, 2017","2,145.88",109.00,--,"43,950,000.00"
"Aug 21, 2017","2,125.07",107.95,--,"43,950,000.00"
"Aug 18, 2017","2,122.69",107.83,--,"43,950,000.00"
"Aug 17, 2017","2,127.81",108.09,--,"43,950,000.00"
"Aug 16, 2017","2,160.28",109.74,--,"43,950,000.00"
"Aug 15, 2017","2,157.83",109.61,--,"43,950,000.00"
"Aug 14, 2017","2,157.68",109.61,--,"43,950,000.00"
"Aug 11, 2017","2,137.38",108.58,--,"43,800,000.00"
"Aug 10, 2017","2,133.47",108.38,--,"43,800,000.00"
"Aug 09, 2017","2,162.44",109.85,--,"43,800,000.00"
"Aug 08, 2017","2,162.29",109.84,--,"43,700,000.00"
"Aug 07, 2017","2,165.95",110.03,--,"43,700,000.00"
"Aug 04, 2017","2,162.41",109.85,--,"43,650,000.00"
"Aug 03, 2017","2,157.43",109.60,--,"43,650,000.00"
"Aug 02, 2017","2,160.98",109.78,--,"43,650,000.00"
"Aug 01, 2017","2,155.43",109.50,--,"43,700,000.00"
"Jul 31, 2017","2,148.58",109.15,--,"43,700,000.00"
"Jul 28, 2017","2,149.75",109.22,--,"44,000,000.00"
"Jul 27, 2017","2,155.07",109.49,--,"44,450,000.00"
"Jul 26, 2017","2,153.21",109.39,--,"44,550,000.00"
"Jul 25, 2017","2,150.46",109.25,--,"44,500,000.00"
"Jul 24, 2017","2,144.04",108.93,--,"44,450,000.00"
"Jul 21, 2017","2,145.81",109.02,--,"44,050,000.00"
"Jul 20, 2017","2,148.80",109.17,--,"44,200,000.00"
"Jul 19, 2017","2,148.46",109.16,--,"44,200,000.00"
"Jul 18, 2017","2,137.81",108.62,--,"44,200,000.00"
"Jul 17, 2017","2,134.78",108.46,--,"44,250,000.00"
"Jul 14, 2017","2,136.02",108.53,--,"44,450,000.00"
"Jul 13, 2017","2,126.65",108.05,--,"44,450,000.00"
"Jul 12, 2017","2,121.85",107.81,--,"44,450,000.00"
"Jul 11, 2017","2,107.48",107.08,--,"44,200,000.00"
"Jul 10, 2017","2,109.08",107.16,--,"44,100,000.00"
"Jul 07, 2017","2,107.18",107.07,--,"44,100,000.00"
"Jul 06, 2017","2,095.55",106.48,--,"44,000,000.00"
"Jul 05, 2017","2,114.19",107.42,--,"44,000,000.00"
"Jul 03, 2017","2,109.13",107.17,--,"44,100,000.00"
"Jun 30, 2017","2,103.35",106.88,--,"44,100,000.00"
"Jun 29, 2017","2,101.16",106.77,--,"44,050,000.00"
"Jun 28, 2017","2,118.99",107.67,--,"44,050,000.00"
"Jun 27, 2017","2,100.31",106.72,0.55,"44,050,000.00"
"Jun 26, 2017","2,117.84",108.17,--,"44,050,000.00"
"Jun 23, 2017","2,118.18",108.19,--,"44,050,000.00"
"Jun 22, 2017","2,115.13",108.03,--,"44,050,000.00"
"Jun 21, 2017","2,116.22",108.09,--,"43,950,000.00"
"Jun 20, 2017","2,116.46",108.10,--,"43,850,000.00"
"Jun 19, 2017","2,129.34",108.76,--,"43,850,000.00"
"Jun 16, 2017","2,110.85",107.82,--,"43,800,000.00"
"Jun 15, 2017","2,110.47",107.80,--,"43,800,000.00"
"Jun 14, 2017","2,114.63",108.01,--,"43,800,000.00"
"Jun 13, 2017","2,115.76",108.07,--,"43,900,000.00"
"Jun 12, 2017","2,107.41",107.64,--,"43,750,000.00"
"Jun 09, 2017","2,109.70",107.76,--,"43,800,000.00"
"Jun 08, 2017","2,111.95",107.88,--,"43,900,000.00"
