iShares S&P 100 ETF,,,,,,,,,,,
Inception Date,"Oct 23, 2000",,,,,,,,,,
Fund Holdings as of,"Oct 31, 2017",,,,,,,,,,
Total Net Assets,"4,781,400,023.48",,,,,,,,,,
Shares Outstanding,"41,950,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
SO,SOUTHERN,Equity,0.37,52.2,"342,378.00","17,872,131.60","17,872,131.60",Utilities,2829601,US8425871071,New York Stock Exchange Inc.
OXY,OCCIDENTAL PETROLEUM CORP,Equity,0.35,64.57,"261,919.00","16,912,109.83","16,912,109.83",Energy,2655408,US6745991058,New York Stock Exchange Inc.
SPG,SIMON PROPERTY GROUP REIT INC,Equity,0.35,155.33,"106,475.00","16,538,761.75","16,538,761.75",Real Estate,2812452,US8288061091,New York Stock Exchange Inc.
F,F MOTOR,Equity,0.34,12.27,"1,339,775.00","16,439,039.25","16,439,039.25",Consumer Discretionary,2615468,US3453708600,New York Stock Exchange Inc.
KHC,KRAFT HEINZ,Equity,0.33,77.33,"204,475.00","15,812,051.75","15,812,051.75",Consumer Staples,BYRY499,US5007541064,NASDAQ
COF,CAPITAL ONE FINANCIAL CORP,Equity,0.32,92.18,"165,701.00","15,274,318.18","15,274,318.18",Financials,2654461,US14040H1059,New York Stock Exchange Inc.
EMR,EMERSON ELECTRIC,Equity,0.3,64.46,"219,255.00","14,133,177.30","14,133,177.30",Industrials,2313405,US2910111044,New York Stock Exchange Inc.
EXC,EXELON CORP,Equity,0.28,40.21,"328,883.00","13,224,385.43","13,224,385.43",Utilities,2670519,US30161N1019,New York Stock Exchange Inc.
HAL,HALLIBURTON,Equity,0.27,42.74,"297,307.00","12,706,901.18","12,706,901.18",Energy,2405302,US4062161017,New York Stock Exchange Inc.
KMI,KINDER MORGAN INC,Equity,0.25,18.11,"657,667.00","11,910,349.37","11,910,349.37",Energy,B3NQ4P8,US49456B1017,New York Stock Exchange Inc.
ALL,ALLSTATE CORP,Equity,0.24,93.86,"123,767.00","11,616,770.62","11,616,770.62",Financials,2019952,US0200021014,New York Stock Exchange Inc.
BLKFDS,BLK CSH FND TREASURY SL AGENCY,Money Market,0.23,1,"11,159,919.00","11,159,918.90","11,159,918.90",Cash and/or Derivatives,-,US0669224778,-
TGT,TARGET CORP,Equity,0.23,59.04,"187,098.00","11,046,265.92","11,046,265.92",Consumer Discretionary,2259101,US87612E1064,New York Stock Exchange Inc.
FOXA,TWENTY FIRST CENTURY FOX INC CLASS,Equity,0.2,26.15,"360,447.00","9,425,689.05","9,425,689.05",Consumer Discretionary,BBM4S68,US90130A1016,NASDAQ
USD,USD CASH,Cash,0.1,100,"4,846,869.00","4,846,868.91","4,846,868.91",Cash and/or Derivatives,-,-,-
FOX,TWENTY-FIRST CENTURY FOX INC CLASS,Equity,0.08,25.45,"151,215.00","3,848,421.75","3,848,421.75",Consumer Discretionary,BBM4S80,US90130A2006,NASDAQ
MSFUT,CASH COLLATERAL MSFUT USD,Cash Collateral and Margins,0.01,100,"620,640.00","620,640.00","620,640.00",Cash and/or Derivatives,-,-,-
ESZ7,S&P500 EMINI DEC 17,Futures,0,"2,572.70",124,0,"15,950,740.00",Cash and/or Derivatives,-,-,Index And Options Market
 ,,,,,,,,,,,
